小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
兰滨小区,"(七里河区吴家园)南滨河中路379-381号, 南滨河中路385号",13740,塔楼/塔板结合,1.5元/平米/月,甘肃金万达物业管理有限公司 ,建住部专业物业管理公司,3栋,528户
金景苑,(城关区雁滩高新区)雁滩路371-375号,13026,板楼,1.6元/平米/月,金伦物业,金辉地产,1栋,210户
酒钢聚东望景小区,"(城关区大沙坪)佛慈大街228号, 佛慈大街228附1号-228附4号",12333,板楼,1.5元/平米/月,兰州长虹物业管理有限责任公司,酒钢集团兰州聚东房地产开发有限公司,1栋,142户
天华院家属院,(西固区西固城)山丹街551-565号,12381,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,4栋,401户
兰州石化有机厂街区兰高阀住宅楼,(西固区天鹅湖)福利西路636-722,11955,板楼,0.5至0.6元/平米/月,兰州石化天成物业管理有限公司,暂无信息,18栋,1075户
雁滩路3566号,(城关区万达大润发)雁滩路3566号,12770,板楼/塔板结合,0.5至1.7元/平米/月,甘肃英联嘉业物业有限公司,甘肃天鸿金运置业有限公司,3栋,272户
建委家属楼,(城关区西关南关)兰林路4-14号,11926,板楼,0.35至2元/平米/月,暂无信息,暂无信息,2栋,120户
省石油公司家属院(白银路),(城关区西关南关)白银路140-154号,12938,塔板结合,0.5元/平米/月,兰州银安物业管理有限公司,申安物业,2栋,82户
亚太·东方星座,(城关区东部)东岗东路1287号,13172,板楼,1.5元/平米/月,兰州志诚物业有限公司,兰州润泽置地有限公司,1栋,359户
悠悠小区,(七里河区金港城)南滨河中路1096-1107号,12581,板楼/塔板结合,0.6至1.5元/平米/月,兰州安达物业管理有限公司, 合肥万科瑞翔地产有限公司,8栋,897户
花城小区,(七里河区下西园)下西园2-22号,11757,塔楼/板楼,0.5至0.6元/平米/月,兰州长城物业管理有限公司,上海隽干置业有限公司,3栋,203户
天恒银滩花园A区,"(七里河区兰炼十字)马滩路35-57号, 马滩路3-29号",12342,板楼/塔板结合,0.8至1.5元/平米/月,甘肃恒乐居物业服务有限公司,甘肃天恒房地产开发有限公司,17栋,2396户
上水巷（散盘）,(城关区西关南关)上水巷,12427,板楼/塔板结合,5元/平米/月,暂无信息,杭州兰里房产开发公司,7栋,339户
市局家属院(南城巷),(城关区西关南关)南城巷14-38号,12294,板楼/塔板结合,0.5元/平米/月,兰州田园物业有限公司,兰州永通房屋开发有限公司,3栋,173户
德胜大厦,(城关区西关南关)永昌路279号,12434,平房,1.7元/平米/月,兰州东立物业管理公司, 太原俊景房地产开发有限公司,1栋,132户
土门墩商储家园,"(七里河区仁恒美林郡)西津西路412-414号, 西津西路424号",13010,板楼/塔板结合,1元/平米/月,兰州中信物业管理有限公司,河南中中置业有限公司,2栋,541户
工行兰州市广场支行家属院,"(城关区西关南关)甘家巷3-7号, 甘家巷17-19号",13336,板楼,0.35至1.5元/平米/月,兰州安达物业管理有限公司,安达祥和置业公司,3栋,131户
甘肃轻工机械总公司家属院,(城关区东方红广场)郑家台98-116-号,13297,板楼,0.3元/平米/月,暂无信息,暂无信息,2栋,182户
兰州卷烟厂家属院（民主西路）,(城关区西关南关)民主西路426-452号,13470,板楼/塔板结合,0.5至2元/平米/月,兰州兰影物业管理有限公司,杭州兰里房产开发公司,3栋,135户
甘肃省农牧公司家属院,(城关区西关南关)中山路115-129号,13015,板楼,1元/平米/月,兰州安达物业管理有限公司,兰州永通房屋开发有限公司,2栋,126户
安康小区,(城关区火车站)牟家庄北社区81-139号,13592,板楼,0.3至5元/平米/月,金轮物业,铁路局,10栋,525户
中兴大厦,(城关区兰大盘旋路)东岗西路455号,12883,塔板结合,1.5元/平米/月,金房物业, 陕西亿润经贸有限公司 ,1栋,144户
昌隆大厦,(城关区东部)东岗东路2698号,13171,板楼,暂无信息,暂无信息,暂无信息,1栋,99户
建兴嘉园,(七里河区金港城)郑家庄302号,13124,塔楼,1.3至5元/平米/月,甘肃建贸物业管理有限公司,信阳兴家宜居实业有限公司,2栋,612户
交通银行家属院（民主西路）,"(城关区五泉广场)民主西路197-201/223号, 民主西路263-271号",12517,板楼,暂无信息,兰州银安物业管理有限公司,暂无信息,2栋,198户
检察院家属院,(西固区西固城)福利东路检察院家属院,11996,板楼,暂无信息,暂无信息,暂无信息,1栋,138户
恒昌花园,(城关区黄河北)北滨河中路306-324号,12745,板楼/塔板结合,0.4至0.6元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,3栋,279户
兰石豪布斯卡璟园,"(七里河区仁恒美林郡)河璟巷173-191号, 河璟巷1365/2165",13571,塔楼/板楼/塔板结合,1.7至2元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",10栋,1833户
兰石厂88栋家属院,(七里河区仁恒美林郡)柳家营137-143号,11855,板楼,0.35元/平米/月,兰州兰石物业服务有限公司,	西安大德房地产开发有限公司,1栋,70户
国税局家属院小区（闵家桥）,(城关区五泉广场)闵家桥188-202号,12893,板楼,0.5至1元/平米/月,暂无信息,暂无信息,2栋,224户
中铁西北科学研究院,(城关区火车站)民主东路329-347号,13519,塔板结合,0.3元/平米/月,兰州田园物业有限公司,兰州永通房屋开发有限公司,1栋,147户
甘肃省林产公司家属院（瓜州路/南滨河中路）,"(七里河区吴家园)瓜州路48-108号, 南滨河中路265-269号",13549,板楼/塔板结合,0.3至1元/平米/月,兰州兴和物业服务有限责任公司,无开发商,11栋,512户
安兴大厦,(城关区黄河北)北滨河中路50号,12383,板楼,1.3元/平米/月,兰州银安物业管理有限公司,无,1栋,160户
上水巷（散盘）,(城关区西关南关)上水巷,12427,板楼/塔板结合,5元/平米/月,暂无信息,杭州兰里房产开发公司,7栋,339户
雁滩路3566号,(城关区万达大润发)雁滩路3566号,12770,板楼/塔板结合,0.5至1.7元/平米/月,甘肃英联嘉业物业有限公司,甘肃天鸿金运置业有限公司,3栋,272户
建委家属楼,(城关区西关南关)兰林路4-14号,11926,板楼,0.35至2元/平米/月,暂无信息,暂无信息,2栋,120户
团省委家属院,(城关区西关南关)中路子2-22号,13221,塔楼/板楼/塔板结合,0.14至0.5元/平米/月,兰州安达物业管理有限公司,置业公司宜兴公司,4栋,232户
市环保局家属院（张家园）,(城关区西关南关)张家园58-64号,12310,板楼,0.5至10元/平米/月,暂无信息,暂无信息,2栋,48户
甘肃联合大学家属院,(城关区万达大润发)南河路2192-2212号,12066,板楼,0.5元/平米/月,齐建物业,四川省聚丰房地产开发有限责任公司3,2栋,204户
任家庄小区,(七里河区仁恒美林郡)任家庄30-40号,12131,板楼,0.4至1.5元/平米/月,兰州银安物业管理有限公司,兰州友信置业有限公司,3栋,100户
伊真大厦,(城关区西关南关)甘南路701附1号,12962,塔楼,8元/平米/月,兰州银安物业管理有限公司,西程开发公司,1栋,29户
公路段家属院高层,(城关区大沙坪)大沙坪327-330号,12431,板楼/塔板结合,0.5至1.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,4栋,332户
火车站东路小区,(城关区火车站)火车站东路384-392号,12601,板楼,0.3元/平米/月,兰州金东建物业有限公司,兰州永通房屋开发有限公司,2栋,113户
甘肃省汽车工业公司家属院（正宁路）,"(城关区西关南关)正宁路231-243号, 正宁路281-285号, 正宁路307-311号",12518,板楼,0.3至0.35元/平米/月,兰州金信源物业有限公司, 陕西亿润经贸有限公司 ,5栋,225户
银丰苑,(安宁区安宁庭院)十里店南街52号,13314,塔楼,0.5元/平米/月,兰州银安物业管理有限公司,银丰地产,1栋,90户
兰铁局机务小区,(城关区火车站)牟家庄63-79号,12539,板楼,0.5至5元/平米/月,兰州金轮物业管理有限责任公司,兰州永通房屋开发有限公司,2栋,142户
检察院家属院,(西固区西固城)福利东路检察院家属院,11996,板楼,暂无信息,暂无信息,暂无信息,1栋,138户
交通银行家属院（民主西路）,"(城关区五泉广场)民主西路197-201/223号, 民主西路263-271号",12517,板楼,暂无信息,兰州银安物业管理有限公司,暂无信息,2栋,198户
兰石厂88栋家属院,(七里河区仁恒美林郡)柳家营137-143号,11855,板楼,0.35元/平米/月,兰州兰石物业服务有限公司,	西安大德房地产开发有限公司,1栋,70户
市局家属院(南城巷),(城关区西关南关)南城巷14-38号,12294,板楼/塔板结合,0.5元/平米/月,兰州田园物业有限公司,兰州永通房屋开发有限公司,3栋,173户
德胜大厦,(城关区西关南关)永昌路279号,12434,平房,1.7元/平米/月,兰州东立物业管理公司, 太原俊景房地产开发有限公司,1栋,132户
国税局家属院小区（闵家桥）,(城关区五泉广场)闵家桥188-202号,12893,板楼,0.5至1元/平米/月,暂无信息,暂无信息,2栋,224户
七里河区交警大队家属院,(七里河区建工局)西站西路36-42号,13153,板楼,5元/平米/月,暂无信息,兰州润泽置地有限公司,2栋,79户
公交印刷小区（西津西路）,(七里河区秀川)西津西路932-940号,12967,板楼,暂无信息,暂无信息,暂无信息,1栋,136户
省粮食局家属院（民主东路）,(城关区东方红广场)民主东路302-310号,12177,板楼,暂无信息,兰州银安物业管理有限公司, 陕西亿润经贸有限公司 ,1栋,69户
恒泰大厦,(城关区西关南关)闵家桥54-56号,13250,塔楼,0.5元/平米/月,兰州银安物业管理有限公司,北京新正恒泰置业有限公司,2栋,290户
艾黎小区,"(七里河区吴家园)建兰路214-216号, 建兰路224-228号, 建兰路240-244号, 建兰路252号",13462,板楼,0.5元/平米/月,兰州安达物业管理有限公司,甘肃时代置业有限责任公司,4栋,159户
亚太西苑,(七里河区吴家园)瓜州路586-594号,11931,板楼/塔板结合,1.2元/平米/月,兰州万城物业集团有限公司,兰州友信置业有限公司,2栋,223户
兰州市政公司家属院(北滨河中路),(城关区黄河北)北滨河中路104-110号,13550,板楼,15元/平米/月,兰州城建物业有限公司,城建地产,1栋,112户
市食品工业公司家属院（柏道路/兰林路）,"(城关区西关南关)柏道路53-75号, 兰林路58-64号",11994,板楼,0.5至1元/平米/月,兰州兰石物业服务有限公司,兰雄置业有限公司,4栋,347户
兰石 豪布斯卡,(七里河区仁恒美林郡)西津西路196号,13627,塔楼/板楼,1.8至2元/平米/月,兰州兰石物业服务有限公司,暂无信息,12栋,2535户
